"id";"Year";"Datetime";"Stage";"Stadium";"City";"Home_Team_Name";"Home_Team_Goals";"Away_Team_Goals";"Away_Team_Name";"Attendance";"Referee";"MatchID";"Home_Team_Initials";"Away_Team_Initials"
450;1990;"1990-06-24 17:00:00";"Round of 16";"Stadio delle Alpi";"Turin ";"Brazil";0;1;"Argentina";61381;"QUINIOU Joel (FRA)";25;"BRA";"ARG"
412;1990;"1990-06-08 18:00:00";"Group B";"Giuseppe Meazza";"Milan ";"Argentina";0;1;"Cameroon";73780;"VAUTROT Michel (FRA)";26;"ARG";"CMR"
463;1990;"1990-07-08 20:00:00";"Final";"Stadio Olimpico";"Rome ";"Germany FR";1;0;"Argentina";73603;"CODESAL MENDEZ Edgardo (MEX)";27;"FRG";"ARG"
460;1990;"1990-07-03 20:00:00";"Semi-finals";"San Paolo";"Naples ";"Italy";1;1;"Argentina";59978;"VAUTROT Michel (FRA)";28;"ITA";"ARG"
436;1990;"1990-06-18 21:00:00";"Group B";"San Paolo";"Naples ";"Argentina";1;1;"Romania";52733;"SILVA VALENTE Carlos Alberto (POR)";29;"ARG";"ROU"
424;1990;"1990-06-13 21:00:00";"Group B";"San Paolo";"Naples ";"Argentina";2;0;"Soviet Union";55759;"FREDRIKSSON Erik (SWE)";30;"ARG";"URS"
456;1990;"1990-06-30 17:00:00";"Quarter-finals";"Comunale";"Florence ";"Yugoslavia";0;0;"Argentina";38971;"ROETHLISBERGER Kurt (SUI)";31;"YUG";"ARG"
415;1990;"1990-06-09 21:00:00";"Group A";"Stadio Olimpico";"Rome ";"Italy";1;0;"Austria";73303;"RAMIZ WRIGHT Jose (BRA)";42;"ITA";"AUT"
428;1990;"1990-06-15 17:00:00";"Group A";"Comunale";"Florence ";"Austria";0;1;"Czechoslovakia";38962;"SMITH George (SCO)";43;"AUT";"TCH"
441;1990;"1990-06-19 21:00:00";"Group A";"Comunale";"Florence ";"Austria";2;1;"USA";34857;"AL SHARIF Jamal (SYR)";48;"AUT";"USA"
455;1990;"1990-06-26 21:00:00";"Round of 16";"Renato Dall Ara";"Bologna ";"England";1;0;"Belgium";34520;"MIKKELSEN Peter (DEN)";55;"ENG";"BEL"
445;1990;"1990-06-21 17:00:00";"Group E";"Marc Antonio Bentegodi";"Verona ";"Belgium";1;2;"Spain";35950;"LOUSTAU Juan (ARG)";56;"BEL";"ESP"
421;1990;"1990-06-12 17:00:00";"Group E";"Marc Antonio Bentegodi";"Verona ";"Belgium";2;0;"Korea Republic";32790;"MAURO Vincent (USA)";57;"BEL";"KOR"
435;1990;"1990-06-17 21:00:00";"Group E";"Marc Antonio Bentegodi";"Verona ";"Belgium";3;1;"Uruguay";33759;"KIRSCHEN Siegfried (GER)";66;"BEL";"URU"
430;1990;"1990-06-16 17:00:00";"Group C";"Stadio delle Alpi";"Turin ";"Brazil";1;0;"Costa Rica";58007;"JOUINI Neji (TUN)";73;"BRA";"CRC"
442;1990;"1990-06-20 21:00:00";"Group C";"Stadio delle Alpi";"Turin ";"Brazil";1;0;"Scotland";62502;"KOHL Helmut (AUT)";74;"BRA";"SCO"
417;1990;"1990-06-10 21:00:00";"Group C";"Stadio delle Alpi";"Turin ";"Brazil";2;1;"Sweden";62628;"LANESE Tullio (ITA)";75;"BRA";"SWE"
448;1990;"1990-06-23 17:00:00";"Round of 16";"San Paolo";"Naples ";"Cameroon";2;1;"Colombia";50026;"LANESE Tullio (ITA)";102;"CMR";"COL"
459;1990;"1990-07-01 21:00:00";"Quarter-finals";"San Paolo";"Naples ";"England";3;2;"Cameroon";55205;"CODESAL MENDEZ Edgardo (MEX)";103;"ENG";"CMR"
425;1990;"1990-06-14 17:00:00";"Group B";"Stadio San Nicola";"Bari ";"Cameroon";2;1;"Romania";38687;"SILVA ARCE Hernan (CHI)";108;"CMR";"ROU"
437;1990;"1990-06-18 21:00:00";"Group B";"Stadio San Nicola";"Bari ";"Cameroon";0;4;"Soviet Union";37307;"RAMIZ WRIGHT Jose (BRA)";111;"CMR";"URS"
438;1990;"1990-06-19 17:00:00";"Group D";"Giuseppe Meazza";"Milan ";"Germany FR";1;1;"Colombia";72510;"SNODDY Alan (NIR)";114;"FRG";"COL"
414;1990;"1990-06-09 17:00:00";"Group D";"Renato Dall Ara";"Bologna ";"rn"">United Arab Emirates""";0;2;"Colombia";30791;"COURTNEY George (ENG)";119;"UAE";"COL"
426;1990;"1990-06-14 17:00:00";"Group D";"Renato Dall Ara";"Bologna ";"Yugoslavia";1;0;"Colombia";32257;"AGNOLIN Luigi (ITA)";120;"YUG";"COL"
419;1990;"1990-06-11 17:00:00";"Group C";"Luigi Ferraris";"Genoa ";"Costa Rica";1;0;"Scotland";30867;"LOUSTAU Juan (ARG)";127;"CRC";"SCO"
443;1990;"1990-06-20 21:00:00";"Group C";"Luigi Ferraris";"Genoa ";"Sweden";1;2;"Costa Rica";30223;"PETROVIC Zoran (SRB)";128;"SWE";"CRC"
449;1990;"1990-06-23 21:00:00";"Round of 16";"Stadio San Nicola";"Bari ";"Czechoslovakia";4;1;"Costa Rica";47673;"KIRSCHEN Siegfried (GER)";129;"TCH";"CRC"
447;1990;"1990-06-21 21:00:00";"Group F";"Sant Elia";"Cagliari ";"England";1;0;"Egypt";34959;"ROETHLISBERGER Kurt (SUI)";150;"ENG";"EGY"
