"Id";"RoundID";"MatchID";"Team_Initials";"Coach_Name";"Line_up";"Shirt_Number";"Player_Name";"Goals_scored";"Red_card"
1;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Oscar BONFIGLIO";0;0
2;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Marcel LANGILLER";1;0
3;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Juan CARRENO";1;0
4;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Ernest LIBERATI";0;0
5;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Rafael GARZA";0;0
6;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Andre MASCHINOT";2;0
7;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Hilario LOPEZ";0;0
8;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Etienne MATTLER";0;0
9;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Dionisio MEJIA";0;0
10;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Marcel PINEL";0;0
11;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Felipe ROSAS";0;0
12;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Alex VILLAPLANE";0;0
13;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Manuel ROSAS";0;0
14;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Lucien LAURENT";1;0
15;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Jose RUIZ";0;0
16;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Marcel CAPELLE";0;0
17;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Alfredo SANCHEZ";0;0
18;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Augustin CHANTREL";0;0
19;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Efrain AMEZCUA";0;0
20;201;1096;"FRA";"CAUDRON Raoul (FRA)";"S";0;"Edmond DELFOUR";0;0
21;201;1096;"MEX";"LUQUE Juan (MEX)";"S";0;"Luis PEREZ";0;0
22;201;1096;"FRA";"CAUDRON Raoul (FRA)";"N";0;"Celestin DELMER";0;0
23;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Isidoro SOTA";0;0
24;201;1096;"FRA";"CAUDRON Raoul (FRA)";"N";0;"Andre TASSIN";0;0
25;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Jesus CASTRO";0;0
26;201;1096;"FRA";"CAUDRON Raoul (FRA)";"N";0;"Nouma ANDOIRE";0;0
27;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Felipe OLIVARES";0;0
28;201;1096;"FRA";"CAUDRON Raoul (FRA)";"N";0;"Jean LAURENT";0;0
29;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Raimundo RODRIGUEZ";0;0
30;201;1096;"FRA";"CAUDRON Raoul (FRA)";"N";0;"Emile VEINANTE";0;0
31;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Roberto GAYON";0;0
32;201;1096;"MEX";"LUQUE Juan (MEX)";"N";0;"Francisco GARZA GUTIERREZ";0;0
33;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Jimmy DOUGLAS";0;0
34;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Arnold BADJOU";0;0
35;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Tom FLORIE";1;0
36;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Jean DE CLERQ";0;0
37;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Jimmy GALLAGHER";0;0
38;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Jan DIDDENS";0;0
39;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Billy GONSALVES";0;0
40;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Auguste HELLEMANS";0;0
41;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Bart McGHEE";1;0
42;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Nikolaas HOYDONCKX";0;0
43;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"George MOORHOUSE";0;0
44;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Jacques MOESCHAL";0;0
45;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Bert PATENAUDE";1;0
46;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Theodore NOUWENS";0;0
47;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Ralph TRACY";0;0
48;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Fernand ADAMS";0;0
49;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Alexander WOOD";0;0
50;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Louis VERSYP";0;0
51;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Andrew AULD";0;0
52;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Bernard VOORHOOF";0;0
53;201;1090;"USA";"MILLAR Bob (USA)";"S";0;"Jim BROWN";0;0
54;201;1090;"BEL";"GOETINCK Hector (BEL)";"S";0;"Pierre BRAINE";0;0
55;201;1090;"USA";"MILLAR Bob (USA)";"N";0;"Frank VAUGHN";0;0
56;201;1090;"BEL";"GOETINCK Hector (BEL)";"N";0;"Alexis CHANTRAINE";0;0
57;201;1090;"USA";"MILLAR Bob (USA)";"N";0;"Mike BOOKIE";0;0
58;201;1090;"BEL";"GOETINCK Hector (BEL)";"N";0;"Jean DE BIE";0;0
59;201;1090;"USA";"MILLAR Bob (USA)";"N";0;"Jim GENTLE";0;0
60;201;1090;"BEL";"GOETINCK Hector (BEL)";"N";0;"Andre SAEYS";0;0
61;201;1090;"USA";"MILLAR Bob (USA)";"N";0;"Phil SLONE";0;0
62;201;1090;"BEL";"GOETINCK Hector (BEL)";"N";0;"Henri DE DEKEN";0;0
63;201;1090;"USA";"MILLAR Bob (USA)";"N";0;"Arnie OLIVER";0;0
64;201;1090;"BEL";"GOETINCK Hector (BEL)";"N";0;"Gerard DELBEKE";0;0
65;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Milovan JAKSIC";0;0
66;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"JOEL";0;0
67;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Blagoje MARJANOVIC";0;0
68;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"TEOPHILO";0;0
69;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Dragan MIHAJLOVIC";0;0
70;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"POLY";0;0
71;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Milorad ARSENIJEVIC";0;0
72;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"FAUSTO";0;0
73;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Ivica BEK";1;0
74;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"PREGUINHO";1;0
75;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Momcilo DJOKIC";0;0
76;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"NILO";0;0
77;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Milutin IVKOVIC";0;0
78;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"BRILHANTE";0;0
79;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Djordje VUJADINOVIC";0;0
80;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"ARAKEN";0;0
81;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Aleksandar TIRNANIC";1;0
82;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"HERMOGENES";0;0
83;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Branislav SEKULIC";0;0
84;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"ITALIA";0;0
85;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"S";0;"Ljubisa STEFANOVIC";0;0
86;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"S";0;"FERNANDO GIUDICELLI";0;0
87;201;1093;"YUG";"SIMONOVIC Bosko (YUG)";"N";0;"Dragan TOSIC";0;0
88;201;1093;"BRA";"DE CARVALHO Pindaro (BRA)";"N";0;"CARVALHO LEITE";0;0
